                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.40523,                 0.2787,                0.90746,                 0.9811,                0.92063,                0.97875,                0.87278,                0.49983,                0.27704,                0.85139,              0.0002265,              0.0002265,              0.0002265
                     88,                0.38546,                0.29313,                0.88972,                0.98182,                0.92063,                0.97534,                0.87391,                0.49533,                0.27383,                0.85084,             0.00021235,             0.00021235,             0.00021235
                     89,                0.41505,                0.30534,                0.89366,                0.97962,                0.92063,                0.97395,                0.87511,                0.50248,                0.27658,                0.85335,              0.0001982,              0.0001982,              0.0001982
                     90,                0.42804,                0.30286,                0.92469,                0.96961,                 0.9213,                  0.976,                0.88894,                0.51661,                0.29222,                0.85743,             0.00018406,             0.00018406,             0.00018406
                     91,                0.36985,                0.28378,                0.83576,                0.95668,                0.92082,                0.97778,                0.88626,                0.51673,                0.29476,                0.86143,             0.00016991,             0.00016991,             0.00016991
                     92,                0.34438,                0.24449,                0.83356,                0.95887,                0.91829,                0.97778,                0.88796,                0.51375,                0.28613,                0.86255,             0.00015576,             0.00015576,             0.00015576
                     93,                 0.3459,                0.23831,                0.82892,                0.96288,                0.91997,                0.97778,                0.88399,                0.50435,                0.27775,                0.85927,             0.00014161,             0.00014161,             0.00014161
                     94,                0.32921,                0.23402,                0.81867,                0.96832,                 0.9179,                0.97529,                0.87575,                0.51228,                0.28015,                0.86178,             0.00012747,             0.00012747,             0.00012747
                     95,                0.33525,                0.22778,                 0.8145,                0.97549,                0.91427,                0.97393,                0.87565,                0.51779,                0.28973,                0.85589,             0.00011332,             0.00011332,             0.00011332
                     96,                0.34632,                 0.2293,                0.85952,                0.97862,                0.91075,                0.97227,                0.87306,                0.51484,                0.28917,                0.85399,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.33649,                0.22602,                0.85027,                0.97553,                0.91178,                0.96799,                0.87265,                0.49903,                 0.2862,                0.84904,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.32584,                0.21784,                0.83239,                0.97048,                 0.9152,                0.97086,                0.87914,                0.48948,                 0.2819,                0.84754,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.32281,                0.21939,                0.84553,                0.97013,                0.91548,                0.97248,                0.87753,                0.48866,                0.28346,                0.84807,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.35353,                0.22689,                 0.8415,                0.97277,                0.91727,                0.97248,                0.87759,                0.50118,                0.29318,                0.85198,             4.2584e-05,             4.2584e-05,             4.2584e-05
